proAplicacao	proAtacado	proBalanca	proCodCSOSN	proCodCst1	proCodCst2	proCodigo	proCusto	proDesativaProd	proDescricao	proEstoqueAtual	proEstoqueMin	proId	proLocalizador	proMedVenda	proMultiplo	proPeso	proPrateleira	proQtdComEntrada	proUn	proVenda	pclDescricao	ncmCodigoNCM	cesCodigo	fabNome	gdpNome	sgpNome	cdbCodigo	proTipo
NULL	39.90000	0	500	0	60	1	2.40900	0	CERV ANTARTICA PILSEN LT 269ML	551.00000	0.00000	1		0	0.00000	0.00000		1.00000	UN	3.49000	NULL	22030000	0302100	ANTARTICA	BEBIDAS	CERVEJA	7891991010061	P
NULL	38.85000	0	500	0	60	2	2.19500	0	CERV SKOL LT 269ML UN	-1351.00000	0.00000	2		0	0.00000	0.00000		1.00000	UN	3.50000	NULL	22030000	0302100	SKOL	BEBIDAS	CERVEJA	7891149103102	P
NULL	21.99000	0	500	0	60	4	13.88700	0	BEB CONHAQUE PRESIDENTE 900ML	44.00000	0.00000	4		0	0.00000	0.00000		1.00000	UN	21.99000	NULL	22089000	0200100	PRESIDENTE	BEBIDAS	CONHAQUE	7896023080487	P
NULL	21.99000	0	500	0	60	4	13.88700	0	BEB CONHAQUE PRESIDENTE 900ML	44.00000	0.00000	4		0	0.00000	0.00000		1.00000	UN	21.99000	NULL	22089000	0200100	PRESIDENTE	BEBIDAS	CONHAQUE	7898715250239	P
NULL	0.00000	0	500	0	60	5	11.67333	0	BEB ENERGETICO VULCANO ENERGY DRINK 1,250L	26.00000	0.00000	5		0	0.00000	0.00000		1.00000	UN	17.99000	NULL	22029900	0300800	VULCANO	BEBIDAS	ENERGETICO	7899465201861	P
NULL	0.00000	0	102	0	00	7	7.08902	0	SH DARLING CERAMIDAS 350 ML	-1.00000	3.00000	7		0	0.00000	0.00000		1.00000	UN	11.99000	NULL	33051000	2001700	DARLING	COSMETICOS	SHAMP	7891024181072	P
NULL	0.00000	0	102	0	00	8	7.11449	0	SH DARLING DETOX 350ML	5.00000	6.00000	8		0	0.00000	0.00000		1.00000	UN	11.98000	NULL	33051000	2001700	DARLING	HIGIENE PESSOAL	SHAMPOO	7509546682600	P
NULL	0.00000	0	102	0	00	9	6.19500	0	EXT TOMATE ELEFANTE PP 300G	29.00000	0.00000	9		0	0.00000	0.00000		1.00000	UN	9.99000	NULL	20029000	0000000	ELEFANTE	ALIMENTOS	EXTRATO	7896036000717	P
NULL	2.99000	0	500	0	60	10	2.29000	0	COTONETE TOPZ 75 UN	-90.00000	12.00000	10		0	0.00000	0.00000		1.00000	UN	4.25000	NULL	56012190	2005100	TOPZ	HIGIENE PESSOAL	CONTONETE	7896004814162	P
NULL	6.25000	0	102	0	00	11	3.99000	0	DESC FAR SUNLESS D PELOS 20G	5.00000	12.00000	11		0	0.00000	0.00000		1.00000	UN	7.89000	NULL	33059000	2002000	SUNLESS	COSMETICOS	DESCOLORANTE	7896902206540	P
