cliCpfCgc	DataInclusao	cliDesativa	cliEmail	cliFantasia	cliFatBairro	cliFatCep	cliFatCidade	cliFatCidCodIBGE	cliFatEnd	cliFatEndNumero	cliFatUf	cliFone	cliId	cliNome	cliRgInsc	cliTipoCad	cliTipo
04955372171	NULL	0	THALLERVINI10@GMAIL.COM	THALLER MAXDATA	PLANO DIRETOR SUL	77020618	PALMAS	1721000	ARSE 25 RUA SR 13	308	TO		11	THALLER CONSULTOR MAXDATA	945788	0	0
24078113000178	NULL	0		DJE CONSTRUTORA LTDA-ME	CENTRO	77665000	BARROLÂNDIA	1703107	RUA CAPITÃO GEORGINHO, NR.244 CENTRO BARROLANDIA-TO	244	TO		12	DJE CONSTRUTORA LTDA-ME	ISENTO	0	1
10508924000157	NULL	0	NULL	MADEIRAS FM	IMPERATRIZ	68365000	ANAPU	1500859	TRV SANTO AGOSTINHO	101	PA		13	W.P. RODRIGUES INDUSTRIA E COMERCIO DE MADEIRAS EI	152804463	1	1
30409050000198	NULL	0	HRCONSTRUTORA2018@GMAIL.COM	HP CONSTRUÇÕES	PLANO DIRETOR SUL	77015260	PALMAS	1721000	ARSO 22 AVENIDA LO 5	01	TO	6199615765	15	HR CONSTRUTORA LTDA	ISENTO	0	1
00075437198	NULL	0		TALES CHRISTIAN RESENDE MOTA	CENTRO	77000001	PALMAS	1721000	1205 SUL, QD 8 AL25 LT36	S/N	TO		16	TALES CHRISTIAN RESENDE MOTA	ISENTO	0	0
61875392653	NULL	0		ALESSANDRO ALBERTO DE CASTRO	CENTRO	77000001	PALMAS	1721000	1006SUL AL 08 LT 07 S/C 09	S/N	TO		17	ALESSANDRO ALBERTO DE CASTRO	ISENTO	0	0
83854281000177	NULL	0	NULL	MADEIREIRA BARRA GRANDE LTDA - MATRIZ	CENTRO	89694000	FAXINAL DOS GUEDES	4205308	RODOVIA BR 282, KM 486	S-N	SC	4934364200	18	MAD. BARRA GRANDE LTDA - MATRIZ 01-77	250301695	1	1
32223414000176	NULL	0	NULL	UNIAO MUNDIAL	CONSELHEIRO PAULINO	28635540	NOVA FRIBURGO	3303401	RUA JORGE PAULO DE SOUZA MAIA	31	RJ	552225339350	19	UNIAO MUNDIAL INDUSTRIA DE FERRAGENS LTDA	80892268	1	1
00053068173	NULL	0	VANIA.OLIVEIRA2@GMAIL.COM	VÂNIA APARECIDA DE OLIVEIRA NASCIMENTO	PLANO DIRETOR SUL	77015476	PALMAS	1721000	307 SUL, RUA 03 , LOTE 13, QI 16	13	TO	6384696213	20	VÂNIA APARECIDA DE OLIVEIRA NASCIMENTO	1196527	0	0
12320992000202	NULL	0	HUMBERTO@MARTINENGENHEARIA.COM.BR	MARTIN CONSTRUCAO E ENGENHARIA CIVIL EIRELI	PLANO DIRETOR NORTE	77006090	PALMAS	1721000	ARNE 13 AVENIDA LO 4	05	TO		21	MARTIN CONSTRUCAO E ENGENHARIA CIVIL EIRELI	ISENTO	0	1
14945228000320	NULL	0	CONTATOPALMAS@TARGINOLAB.COM.BR	TARGINO SOLEDADE LABORATORIO CLINICO LTDA	PLANO DIRETOR SUL	77020476	PALMAS	1721000	QUADRA ARSE 21 ALAMEDA 13	5	TO	6330287007	22	TARGINO SOLEDADE LABORATORIO CLINICO LTDA	ISENTO	0	1
82414637153	NULL	0		RAIMUNDO NONATO	CENTRO	77000001	PALMAS	1721000	304 NORTE, QI 09, AL 05, LOTE 03-A	S/N	TO		23	RAIMUNDO NONATO	ISENTO	0	0
97932744172	NULL	0		SILVANA ASSIS PERES	PLANO DIRETOR NORTE	77006362	PALMAS	1721000	QUADRA ARNE 41 ALAMEDA 6 LOTE 24	S/N	TO		25	SILVANA ASSIS PERES	885519SSPTO	0	0
34321751000121	NULL	0	TAI2.COMERCIO@GMAIL.COM	TAIS MATERIAS PARA CONSTRUÇÃO	PLANO DIRETOR SUL	77015684	PALMAS	1721000	ARSO 43 AVENIDA LO 9	S/N	TO	6332244400	26	TAI MATERIAL DE CONSTRUÇÃO LTDA	29.496.951-9	0	1
13642782191	NULL	0		GEDEOM ALVES MARTINS	PLANO DIRETOR SUL	77019428	PALMAS	1721000	QUADRA ARSO 121 ALAMEDA 16 QI 03 LT 15	15	TO		28	GEDEOM ALVES MARTINS	383397SSPTO	0	0
80158397000183	NULL	0	NULL	SCHLINDWEIN IND. E COM. LTDA	NITEROI	89150000	PRESIDENTE GETULIO	4214003	RUA NITEROI	2293	SC	04733521267	29	SCHLINDWEIN IND. E COM. LTDA	251601684	1	1
16733633000149	NULL	0	DIVINAFERNANDESCONTI@GMAIL.COM	CONTI DAMIANI EMPREENDIMENTOS	ZONA RURAL	77660000	PARAÍSO DO TOCANTINS	1716109	ROD. TO 080 KM 50	S/N	TO	6399984021	30	CONTI DAMIANI EMPREENDIMENTOS	ISENTO	0	1
13040223000124	NULL	0	SILBORADRIANA@GMAIL.COM	REVENDA ANTIGA SAMOM	PLANO DIRETOR SUL	77020024	PALMAS	1721000	104 SUL RUA SE 09 CJ 03 LOTE 21 CASA 06	S/N	TO	6332153213	31	MATERIAIS DE CONSTRUCAO SILBOR LTDA ME	29.430.040-6	0	1
22069054000146	NULL	0	HPSERVICOSPALMAS@GMAIL.COM	HP SERVICOS	PLANO DIRETOR SUL	77015036	PALMAS	1721000	Q 103 SUL AVENIDA LO 3	121	TO	6332150817	32	HP SERVICOS AUTOMOTIVOS EIRELI	29.487.488-7	0	1
05718785120	NULL	0		JESSICA CAROLINE ALMEIDA CRUZ SANCHES	CENTRO	77000001	PALMAS	1721000	1406SUL AL 12 QI 17 LT 17 QD 17	S/N	TO		34	JESSICA CAROLINE ALMEIDA CRUZ SANCHES	1055239	0	0
